GRUPO,FAMILIA,ESP,ESPECIE,AUTOR,NOMBREE,NOMBREI,A,B,LINF,K,T0,MED,INCREM,NODC,GT,APHIA
1,Sparidae,15,Boops boops,"(Linnaeus, 1758)",Boga,Bogue,0.007100,3.097700,0.00,0.00,0.00,1,1,8835430901,11,127047
1,Callionymidae,16,Callionymus lyra,"Linnaeus, 1758",Dragoncillo,Common dragonet,0.013300,2.793600,0.00,0.00,0.00,1,1,8846010106,9,126792
1,Callionymidae,17,Callionymus maculatus,"Rafinesque, 1810",Dragoncillo moteado,Spotted dragonet,0.009000,2.781600,0.00,0.00,0.00,1,1,8846010107,9,126793
1,Caproidae,18,Capros aper,"(Linnaeus, 1758)",Ochavo,Boar fish,0.032000,2.800000,0.00,0.00,0.00,2,1,8811060301,11,127419
1,Chimaeridae,19,Chimaera monstrosa,"Linnaeus, 1758",Quimera,Rabbit fish(Rat-tail,0.002800,2.820000,0.00,0.00,0.00,1,1,8716020202,6,105824
1,Somniosidae,20,Centroscymnus coelolepis,Barbosa du Bocage & de Br,Pailona,Portuguese shark,0.004300,3.120000,0.00,0.00,0.00,1,1,8710011201,7,105907
1,Cepolidae,21,Cepola macrophthalma,"(Linnaeus, 1758)",Pez cinta,Red bandfish,0.023300,2.003100,0.00,0.00,0.00,1,1,8835700102,11,126835
1,Chlorophthalmidae,22,Chlorophthalmus agassizi,"Bonaparte, 1840",Ojoverde,Shortnose greeneye,0.007900,2.909000,0.00,0.00,0.00,1,1,8762040101,11,126336
1,Congridae,23,Conger conger,"(Linnaeus, 1758)",Congrio,European conger eel,0.000343,3.400766,0.00,0.00,0.00,1,1,8741120111,6,126285
1,Nomeidae,24,Cubiceps gracilis,"(Lowe, 1843)",Cubiceps,Driftfish,0.010720,3.030000,0.00,0.00,0.00,1,1,8851020203,6,126990
1,Dasyatidae,25,Dasyatis pastinaca,"(Linnaeus, 1758)",Chucho,Sting ray,0.015000,3.213000,0.00,0.00,0.00,1,1,8713050111,9,105851
1,Centrophoridae,26,Deania calcea,"(Lowe, 1839)",Deania,Birdbeak dogfish,0.001200,3.275900,0.00,0.00,0.00,1,1,8710011401,7,105903
1,Soleidae,27,Dicologlossa cuneata,"(Moreau, 1881)",Acedia,Wedge sole,0.006600,3.001000,0.00,0.00,0.00,1,1,8858012101,9,127154
1,Carapidae,28,Echiodon dentatus,"(Cuvier, 1829)",Rubioca,,0.000700,3.000000,0.00,0.00,0.00,1,1,8792020201,9,126662
1,Etmopteridae,29,Etmopterus spinax,"(Linnaeus, 1758)",Negrito,Velvet belly,0.004500,2.958300,0.00,0.00,0.00,1,1,8710010510,7,105913
1,Triglidae,30,Eutrigla gurnardus,"(Linnaeus, 1758)",Borracho,Grey gurnard,0.007000,3.025000,0.00,0.00,0.00,1,1,8826020601,9,150637
1,Gadidae,31,Gadiculus argenteus,"Guichenot, 1850",Faneca plateada,Silvery pout,0.005400,3.144500,0.00,0.00,0.00,1,1,8791032101,11,126435
1,Lotidae,32,Gaidropsarus macrophthalmus,"(G³nther, 1867)",Madreanguila,Rockling,0.003000,3.255300,0.00,0.00,0.00,1,1,8791032601,11,126456
1,Lotidae,33,Gaidropsarus vulgaris,"(Cloquet, 1824)",Barbada,Treebearded rockling,0.010800,2.959000,0.00,0.00,0.00,1,1,8791032001,6,126458
1,Pentanchidae,34,Galeus melastomus,"Rafinesque, 1810","Olayo, bocanegra",Blackmouthed dogfish,0.002400,3.042400,0.00,0.00,0.00,1,1,8708010203,7,105812
1,Gobiidae,35,Gobius niger,"Linnaeus, 1758",Chaparrudo,Black goby,0.009330,3.050000,0.00,0.00,0.00,1,1,8847011316,9,126892
1,Sebastidae,36,Helicolenus dactylopterus,"(Delaroche, 1809)",Gallineta,Blue-mouth redfish,0.011600,3.139000,0.00,0.00,0.00,1,1,8826010301,6,127251
1,Hexanchidae,37,Hexanchus griseus,"(Bonnaterre, 1788)",Cañabota,Six-gilled shark,0.013500,3.000000,0.00,0.00,0.00,1,1,8705020101,7,105833
1,Trachichthyidae,38,Hoplostethus mediterraneus,"Cuvier, 1829",Reloj,Pink,0.017900,2.865000,0.00,0.00,0.00,1,1,8810020202,6,126404
1,Labridae,39,Labrus mixtus,"Linnaeus, 1758",Gallano,Cuckoo wrasse,0.004800,3.317500,0.00,0.00,0.00,1,1,8839013604,6,151501
1,Myctophidae,40,Lampanyctus crocodilus,"(Risso, 1810)",Pez linterna,Lantern fish,0.004370,3.050000,0.00,0.00,0.00,1,1,8762140317,11,126612
1,Trichiuridae,41,Lepidopus caudatus,"(Euphrasen, 1788)",Pez cinto,Cutlass fish,0.000200,3.279700,0.00,0.00,0.00,1,1,8850020401,6,127088
1,Scophthalmidae,42,Lepidorhombus boscii,"(Risso, 1810)",Gallo b.,Megrim,0.004200,3.177700,0.00,0.00,0.00,1,1,8857032301,5,127145
1,Scophthalmidae,43,Lepidorhombus whiffiagonis,"(Walbaum, 1792)",Gallo w.,Megrim,0.005000,3.096500,0.00,0.00,0.00,1,1,8857032302,5,127146
1,Lophiidae,44,Lophius budegassa,"Spinola, 1807",Rape negro,White angler fish,0.018400,2.968300,0.00,0.00,0.00,1,1,8786010104,4,126554
1,Lophiidae,45,Lophius piscatorius,"Linnaeus, 1758",Rape blanco,Angler fish,0.049600,2.598000,0.00,0.00,0.00,1,1,8786010103,4,126555
1,Macrouridae,46,Malacocephalus laevis,"(Lowe, 1843)","Granadero, pez rata",Soft-headed rattail,0.007940,3.130000,0.00,0.00,0.00,2,5,8794010601,6,272392
1,Centriscidae,47,Macroramphosus gracilis,,Trompetero,Snipe-fish,0.000000,0.000000,0.00,0.00,0.00,1,1,8819030101,11,275181
1,Centriscidae,48,Macroramphosus scolopax,"(Linnaeus, 1758)",Trompetero,Snipe-fish,0.002000,3.411700,0.00,0.00,0.00,1,1,8819030101,11,127378
1,Soleidae,49,Microchirus variegatus,"(Donovan, 1808)",Golleta,Thickback sole,0.009600,3.018800,0.00,0.00,0.00,1,1,8858010903,9,274304
1,Merlucciidae,50,Merluccius merluccius,"(Linnaeus, 1758)",Merluza,European hake,0.003700,3.179800,100.00,0.00,0.00,1,1,8791040105,2,126484
1,Gadidae,51,Micromesistius poutassou,"(Risso, 1827)",Bacaladilla,Blue whiting,0.003800,3.132000,0.00,0.00,0.00,1,1,8791032201,10,126439
1,Lotidae,52,Molva macrophthalma,"(Rafinesque, 1810)",Pez palo,Spanish ling,0.001300,3.151736,0.00,0.00,0.00,1,1,8791031902,6,126460
1,Lotidae,53,Molva molva,"(Linnaeus, 1758)",Maruca,Common ling,0.003990,3.064679,0.00,0.00,0.00,1,1,8791031901,6,126461
1,Moridae,54,Mora moro,"(Risso, 1810)",Mora,,0.002400,3.370000,0.00,0.00,0.00,1,1,8791010401,11,126497
1,MULLIDAE,55,Mullus barbatus barbatus,"Linnaeus, 1758",Salmonete de fango,Red mullet,0.008320,3.100000,0.00,0.00,0.00,1,1,8835450203,9,293632
1,Mullidae,56,Mullus surmuletus,"Linnaeus, 1758",Salmonete de roca,Red mullet,0.008000,3.146900,0.00,0.00,0.00,1,1,8835450202,9,126986
1,Triakidae,57,Mustelus asterias,"Cloquet, 1819",Musola estrellada,Starry smooth hound,0.001820,3.130000,0.00,0.00,0.00,1,1,8708020408,7,105821
1,Notacanthidae,58,Notacanthus bonaparte,"Risso, 1840",Notacantus,Bonapart's spiny eel,0.001820,3.050000,0.00,0.00,0.00,1,1,8743030302,11,126642
1,Macrouridae,59,Nezumia aequalis,"(G³nther, 1878)",Pez rata,Smooth rattail,0.003020,3.120000,0.00,0.00,0.00,2,5,8794010801,11,126473
1,Sparidae,60,Pagellus acarne,"(Risso, 1827)",Aligote,Auxillary seabream,0.007100,3.188000,0.00,0.00,0.00,1,1,8835430802,11,127057
1,Sparidae,61,Pagellus bogaraveo,"(Br³nnich, 1768)",Besugo,Red sea-bream,0.011000,3.079000,0.00,0.00,0.00,1,1,8835430801,6,127059
1,Sparidae,62,Pagellus erythrinus,"(Linnaeus, 1758)",Breca,Pandora,0.012800,2.991600,0.00,0.00,0.00,1,1,8835430804,6,127060
1,Phycidae,63,Phycis blennoides,"(Br³nnich, 1768)",Brotola de fango,Beard,0.003984,3.164235,0.00,0.00,0.00,1,1,8791031602,9,126501
1,Phycidae,64,Phycis phycis,"(Linnaeus, 1766)",Brotola de roca,Forkbeard,0.006310,3.140000,0.00,0.00,0.00,1,1,8791031603,9,126502
1,Scophthalmidae,65,Zeugopterus regius,"(Bonnaterre, 1788)",Limanda,Ekstroms topknot,0.000000,0.000000,0.00,0.00,0.00,1,1,8857032202,9,236488
1,Gobiidae,66,Pomatoschistus pictus,"(Malm, 1865)",Gobio de manchas,Painted goby,0.009330,3.070000,0.00,0.00,0.00,1,1,8847015102,9,126930
1,Gobiidae,67,Pomatoschistus minutus,"(Pallas, 1770)",Gobio de arena,Sand goby,0.007940,3.080000,0.00,0.00,0.00,1,1,8847015101,9,126928
1,Rajidae,68,Raja clavata,"Linnaeus, 1758",Raya de clavos,Thornback ray(Roker),0.002100,3.293600,0.00,0.00,0.00,1,1,8713040159,8,105883
1,Rajidae,69,Raja montagui,"Fowler, 1910",Raya pintada,Spotted ray,0.001700,3.344600,0.00,0.00,0.00,1,1,8713040141,8,105887
1,Rajidae,70,Leucoraja naevus,"(M³ller & Henle, 1841)",Raya santiaguesa,Cuckoo ray,0.002200,3.255400,0.00,0.00,0.00,1,1,8713040148,8,105876
1,Rajidae,71,Raja undulata,"LacepÞde, 1802",Raya mosaico,Undulate ray,0.003390,3.170000,0.00,0.00,0.00,1,1,8713040158,8,105891
1,Clupeidae,72,Sardina pilchardus,"(Walbaum, 1792)",Sardina,Pilchard,0.000000,0.000000,0.00,0.00,0.00,1,1,8747012201,14,126421
1,Scombridae,73,Scomber colias,"Gmelin, 1789",Estornino,Spanish mackerel,0.000000,0.000000,0.00,0.00,0.00,1,1,8850030301,13,151174
1,Scombridae,74,Scomber scombrus,"Linnaeus, 1758",Caballa,Mackerel,0.005300,3.084000,0.00,0.00,0.00,1,1,8850030302,13,127023
1,Scorpaenidae,75,Scorpaena loppei,"Cadenat, 1943",Cabracho,Cadenat's rockfish,0.015100,3.021000,0.00,0.00,0.00,1,1,8826010625,9,127244
1,Scorpaenidae,76,Scorpaena porcus,"Linnaeus, 1758",Rascacio,Black scorpionfish,0.013490,3.030000,0.00,0.00,0.00,1,1,8826010629,9,127247
1,Scorpaenidae,77,Scorpaena scrofa,"Linnaeus, 1758",Cabracho,Red scorpionfish,0.012880,3.010000,0.00,0.00,0.00,1,1,8826010628,9,127248
1,Scorpaenidae,78,Scorpaena notata,"Rafinesque, 1810",Cabracho,Small red scorpionfi,0.024600,2.818600,0.00,0.00,0.00,1,1,8826010627,9,127246
1,Scyliorhinidae,79,Scyliorhinus canicula,"(Linnaeus, 1758)",Pintarroja,Lesser spotted dogfi,0.002300,3.099300,70.00,0.00,0.00,1,1,8708010306,7,105814
1,Somniosidae,80,Scymnodon ringens,Barbosa du Bocage & de Br,Tiburón gruñidor,Knifetooth dogfish,0.004790,3.130000,0.00,0.00,0.00,1,1,8710011601,7,105918
1,Sparidae,81,Sparus aurata,"Linnaeus, 1758",Dorada,Gilt-head seabream,0.010400,3.079000,0.00,0.00,0.00,1,1,8835431101,6,151523
1,Sparidae,82,Spondyliosoma cantharus,"(Linnaeus, 1758)",Chopa,Black seabream,0.015100,3.023300,0.00,0.00,0.00,1,1,8835431201,6,127066
1,Dalatiidae,83,Dalatias licha,"(Bonnaterre, 1788)",Lija,Darkie charlie,0.003630,3.120000,0.00,0.00,0.00,1,1,8710010401,7,105910
1,Soleidae,84,Solea solea,"(Linnaeus, 1758)",Lenguado,Sole (Dover sole),0.003900,3.235900,0.00,0.00,0.00,1,1,8858010601,9,127160
1,Soleidae,85,Solea senegalensis,"Kaup, 1858",Lenguado del sur,Senegalese sole,0.008510,3.050000,0.00,0.00,0.00,1,1,8858010614,9,127159
1,STOMIIDAE,86,Stomias boa boa,"(Risso, 1810)",Boa,,0.002290,3.160000,0.00,0.00,0.00,1,1,8759070205,11,127374
1,Trachinidae,87,Trachinus draco,"Linnaeus, 1758",Escorpión,Greater weever fish,0.006900,2.944600,0.00,0.00,0.00,1,1,8840060102,9,127082
1,Trachinidae,88,Echiichthys vipera,"(Cuvier, 1829)",Salvariego,Lesser weever fish,0.010000,3.040000,0.00,0.00,0.00,1,1,8840060101,9,150630
1,Carangidae,89,Trachurus mediterraneus,"(Steindachner, 1868)",Jurel mediterráneo,Mediterranean scad,0.013250,2.844000,0.00,0.00,0.00,1,1,8835280105,12,126820
1,Carangidae,90,Trachurus trachurus,"(Linnaeus, 1758)","Jurel, chicharro",Horse mackerel,0.012910,2.854500,0.00,0.00,0.00,1,1,8835280103,12,126822
1,Macrouridae,91,Trachyrincus scabrus,"(Rafinesque, 1810)",Pez rata,Roughnosed rattail,0.000000,0.000000,0.00,0.00,0.00,2,5,8794011501,6,126482
1,Trichiuridae,92,Trichiurus lepturus,"Linnaeus, 1758",Pez sable,Hair tail,0.000400,3.120000,0.00,0.00,0.00,1,1,8850020201,6,127089
1,Triglidae,93,Chelidonichthys lucerna,"(Linnaeus, 1758)",Perlón,Tub gurnard,0.008000,3.061000,0.00,0.00,0.00,1,1,8826020501,6,127262
1,Triglidae,94,Trigla lyra,"Linnaeus, 1758",Garneo,Piper,0.028700,2.515700,0.00,0.00,0.00,1,1,8826020503,9,127266
1,Gadidae,95,Trisopterus luscus,"(Linnaeus, 1758)",Faneca,Whiting pout,0.006286,3.198968,0.00,0.00,0.00,1,1,8791031702,11,126445
1,Gadidae,96,Trisopterus minutus,"(Linnaeus, 1758)",Faneca menor,Poor cod,0.005800,3.180700,0.00,0.00,0.00,1,1,8791031701,11,126446
1,Alepocephalidae,97,Xenodermichthys copei,"(Gill, 1884)",Xenodermictis,Bluntsnout smooth-he,0.007000,2.919900,0.00,0.00,0.00,1,1,8760011201,11,126714
1,Zeidae,98,Zeus faber,"Linnaeus, 1758",Pez de San Pedro,John dory,0.016800,2.978800,0.00,0.00,0.00,1,1,8811030301,6,127427
1,Engraulidae,99,Engraulis encrasicolus,"(Linnaeus, 1758)",Boqueron,European anchovy,0.005560,3.093000,0.00,0.00,0.00,1,1,8747020104,14,126426
1,Trichiuridae,100,Aphanopus carbo,"Lowe, 1839",Pez sable negro,Black scabbard fish,0.000400,3.270000,0.00,0.00,0.00,1,1,8850020301,6,127085
1,Gobiidae,101,Aphia minuta,"(Risso, 1810)",Chanquete,Transparent goby,0.002140,3.270000,0.00,0.00,0.00,1,1,8847016601,11,126868
1,Ammodytidae,102,Ammodytes tobianus,"Linnaeus, 1758",Lanzon,Sand-eel,0.001500,3.169000,0.00,0.00,0.00,1,1,8845010105,11,126752
1,Atherinidae,103,Atherina presbyter,"Cuvier, 1829",Abichon,Sandsmelt,0.005370,3.120000,0.00,0.00,0.00,1,1,8805021003,11,272030
1,Berycidae,104,Beryx splendens,"Lowe, 1834",Besugo americano,Lowes berix,0.014000,3.150000,0.00,0.00,0.00,1,1,8810050102,6,126395
1,Soleidae,105,Buglossidium luteum,"(Risso, 1810)",Acevia,Solenette,0.013900,2.869400,0.00,0.00,0.00,1,1,8858010801,9,127153
1,Callanthiidae,106,Callanthias ruber,"(Rafinesque, 1810)",Tres colas,Parrot sea perch,0.011220,3.040000,0.00,0.00,0.00,1,1,8835025401,6,126789
1,Centrophoridae,107,Centrophorus squamosus,"(Bonnaterre, 1788)",Quelvacho,Leafscale gulper sha,0.002880,3.150000,0.00,0.00,0.00,1,1,8710010302,7,105901
1,Citharidae,108,Citharus linguatula,"(Linnaeus, 1758)",Solleta,Spotted flounder,0.005620,3.090000,0.00,0.00,0.00,1,1,8857010201,9,127130
1,Clupeidae,109,Clupea harengus,"Linnaeus, 1758",Arenque,Herring,0.006460,3.050000,0.00,0.00,0.00,1,1,8747010201,14,126417
1,Clupeidae,110,Sprattus sprattus,"(Linnaeus, 1758)",Espadin,Sprat,0.005890,3.070000,0.00,0.00,0.00,1,1,8747011701,14,126425
1,Macrouridae,111,Coelorinchus caelorhincus,"(Risso, 1810)",Pez rata,Hollow-nosed rattail,0.003800,3.100000,0.00,0.00,0.00,2,5,8794010405,6,398381
1,Gobiidae,112,Crystallogobius linearis,"(D³ben, 1845)",Gobio de cristal,Cristal goby,0.005500,3.250000,0.00,0.00,0.00,1,1,8847014901,11,126878
1,Gobiidae,113,Deltentosteus quadrimaculatus,"(Valenciennes, 1837)",Gobio de 4 manchas,Toothed goby,0.007400,3.050000,0.00,0.00,0.00,1,1,8847019001,9,126880
1,Moronidae,114,Dicentrarchus labrax,"(Linnaeus, 1758)",Lubina,European seabass,0.007400,3.096300,0.00,0.00,0.00,1,1,8835750101,6,126975
1,SPARIDAE,115,Diplodus cervinus cervinus,"(Lowe, 1841)",Bedao,Striped sea bream,0.011600,3.140000,0.00,0.00,0.00,1,1,8835430405,6,236470
1,SPARIDAE,116,Diplodus sargus sargus,"(Linnaeus, 1758)",Sargo,White sea bream,0.015400,3.034000,0.00,0.00,0.00,1,1,8835430403,6,223863
1,Gadidae,117,Gadus morhua,"Linnaeus, 1758",Bacalao,Cod,0.000000,0.000000,0.00,0.00,0.00,1,1,8791030402,6,126436
1,Lotidae,118,Gaidropsarus guttatus,"(Collett, 1890)",Barbada,,0.000000,0.000000,0.00,0.00,0.00,1,1,8791032008,6,126455
1,Triakidae,119,Galeorhinus galeus,"(Linnaeus, 1758)",Cazón,Tope shark,0.003310,3.050000,0.00,0.00,0.00,1,1,8708020102,7,105820
1,Pleuronectidae,120,Glyptocephalus cynoglossus,"(Linnaeus, 1758)","Coreano,gallo inglés",Witch,0.001755,3.322774,0.00,0.00,0.00,1,1,8857040502,9,127136
1,Gobiidae,121,Lesueurigobius friesii,"(Malm, 1874)",Gobio de Lesueur,Frie's goby,0.012600,2.757000,0.00,0.00,0.00,1,1,8847016702,9,126904
1,ZOARCIDAE,122,Lycodes,,Licodes,Eel pout,0.000000,0.000000,0.00,0.00,0.00,1,1,8793010700,11,126104
1,Sternoptychidae,123,Maurolicus muelleri,"(Gmelin, 1789)",Anchoa de fondo,Pearlside,0.000000,0.000000,0.00,0.00,0.00,1,1,8759010501,14,127312
1,GADIDAE,124,Melanogrammus aeglefinus,"(Linnaeus, 1758)",Burro,Haddock,0.006200,3.115000,0.00,0.00,0.00,1,1,8791031301,6,126437
1,Gadidae,125,Merlangius merlangus,"(Linnaeus, 1758)",Plegonero,Whiting,0.003400,3.258000,0.00,0.00,0.00,1,1,8791031801,6,126438
1,Mugilidae,126,Chelon labrosus,"(Risso, 1827)",Lisa,Thick lipped mullet,0.007940,3.120000,0.00,0.00,0.00,1,1,8836010704,6,126977
1,Myliobatidae,127,Myliobatis aquila,"(Linnaeus, 1758)",Aguila marina,Eagle ray,0.000000,0.000000,0.00,0.00,0.00,1,1,8713070204,9,105860
1,Myctophidae,128,Notoscopelus kroyeri,"(Malm, 1861)",Pez linterna,Lanternfish,0.000000,0.000000,0.00,0.00,0.00,1,1,8762140405,11,272728
1,Paralepididae,129,Paralepis coregonoides,"Risso, 1820",Paralepis,,0.000000,0.000000,0.00,0.00,0.00,1,1,8762070402,11,126361
1,Pleuronectidae,130,Platichthys flesus,"(Linnaeus, 1758)",Platija,Flounder,0.007760,3.070000,0.00,0.00,0.00,1,1,8857041402,9,127141
1,Gadidae,131,Pollachius pollachius,"(Linnaeus, 1758)",Abadejo,Pollack,0.004990,3.184921,0.00,0.00,0.00,1,1,8791030902,6,126440
1,Gadidae,132,Pollachius virens,"(Linnaeus, 1758)","Carbonero, fogonero",Saithe,0.000000,0.000000,0.00,0.00,0.00,1,1,8791030901,6,126441
1,Rajidae,133,Raja asterias,"Delaroche, 1809",Raya estrellada,Starry ray,0.002630,3.230000,0.00,0.00,0.00,1,1,8713040137,8,105881
1,Rajidae,134,Leucoraja circularis,"(Couch, 1838)",Raya,Sandy ray,0.003020,3.210000,0.00,0.00,0.00,1,1,8713040147,8,105873
1,Salmonidae,135,Salmo salar,"Linnaeus, 1758",Salmón,N. Atlantic salmon,0.000000,0.000000,0.00,0.00,0.00,1,1,8755010305,6,127186
1,Sparidae,136,Sarpa salpa,"(Linnaeus, 1758)",Salema,Gold line,0.012590,3.040000,0.00,0.00,0.00,1,1,8835431801,6,127064
1,Serranidae,137,Serranus cabrilla,"(Linnaeus, 1758)",Cabrilla,Comber,0.020400,2.780700,0.00,0.00,0.00,1,1,8835022316,6,127041
1,Soleidae,138,Pegusa lascaris,"(Risso, 1810)",Lenguado de arena,Sand sole,0.008710,3.030000,0.00,0.00,0.00,1,1,8858010610,9,127156
1,Scyliorhinidae,139,Scyliorhinus stellaris,"(Linnaeus, 1758)",Alitán,Nurse hound,0.003160,3.100000,0.00,0.00,0.00,1,1,8708010307,7,105815
1,Triglidae,140,Trigloporus lastoviza,"(Bonnaterre, 1788)",Rubio,Streaked gurnard,0.008710,3.030000,0.00,0.00,0.00,1,1,8826020701,9,154462
1,Gadidae,141,Trisopterus esmarkii,"(Nilsson, 1855)",Faneca menor,Norway pout,0.000000,0.000000,0.00,0.00,0.00,1,1,8791031703,11,126444
1,Squalidae,142,Squalus acanthias,"Linnaeus, 1758",Mielga,Spurdog,0.000000,0.000000,0.00,0.00,0.00,1,1,8710010201,7,105923
1,Liparidae,143,Paraliparis membranaceus,"G³nther, 1887",Paraliparis,,0.000000,0.000000,0.00,0.00,0.00,1,1,8831091117,11,127228
1,Molidae,144,Mola mola,"(Linnaeus, 1758)",Pez luna,Ocean sunfish,0.045400,3.049600,0.00,0.00,0.00,1,1,8861040101,6,127405
1,Rajidae,145,Raja brachyura,"Lafont, 1871",Raya braquiura,Blonde ray,0.002880,3.220000,0.00,0.00,0.00,1,1,8713040138,8,367297
1,Sparidae,146,Pagrus pagrus,"(Linnaeus, 1758)",Pargo,Redtail porgy,0.025700,2.866000,0.00,0.00,0.00,1,1,8835430601,6,127063
1,Rajidae,147,Raja microocellata,"Montagu, 1818",Raya colorada,Painted ray,0.004470,3.260000,0.00,0.00,0.00,1,1,8713040140,8,105885
1,Scophthalmidae,148,Scophthalmus maximus,"(Linnaeus, 1758)",Rodaballo,Turbot,0.004400,3.386200,0.00,0.00,0.00,1,1,8857030402,9,127149
1,Scophthalmidae,149,Scophthalmus rhombus,"(Linnaeus, 1758)",Remol,Brill,0.005500,3.304700,0.00,0.00,0.00,1,1,8857030403,9,127150
1,Gobiidae,150,Lesueurigobius sanzi,"(de Buen, 1918)",Gobio de Sanzo,Sanzo's goby,0.000000,0.000000,0.00,0.00,0.00,1,1,8847016704,9,126906
1,Serranidae,151,Serranus hepatus,"(Linnaeus, 1758)",Merillo,Brown comber,0.000000,0.000000,0.00,0.00,0.00,1,1,8835022314,6,127042
1,Sparidae,152,Diplodus annularis,"(Linnaeus, 1758)",Raspallón,Annular sea bream,0.014520,3.140000,0.00,0.00,0.00,1,1,8835430404,6,127049
1,Uranoscopidae,153,Uranoscopus scaber,"Linnaeus, 1758",Rata,Stargazer,0.000000,0.000000,0.00,0.00,0.00,1,1,8840140802,9,127093
1,Sciaenidae,154,Argyrosomus regius,"(Asso, 1801)",Corvina,Meagre,0.022100,2.772800,0.00,0.00,0.00,1,1,8835442701,9,127007
1,Torpedinidae,155,Torpedo marmorata,"Risso, 1810",Tembladera,Marbled electric ray,0.000000,0.000000,0.00,0.00,0.00,1,1,8713030105,9,271684
1,Triglidae,156,Lepidotrigla dieuzeidei,"Blanc & Hureau, 1973",Cabete espinudo,Spiny gurnard,0.009330,3.070000,0.00,0.00,0.00,1,1,8826020413,9,127265
1,Pomatomidae,157,Pomatomus saltatrix,"(Linnaeus, 1766)",Anjora,Bluefish,0.000000,0.000000,0.00,0.00,0.00,1,1,8835250101,6,151482
1,Sparidae,158,Diplodus vulgaris,"(Geoffroy Saint-Hilaire,",Mojarra,Common two-banded sb,0.022300,2.878000,0.00,0.00,0.00,1,1,8835430406,6,127054
1,Mugilidae,159,Liza aurata,"(Risso, 1810)",Galupea,Golden mullet,0.000000,0.000000,0.00,0.00,0.00,1,1,8836010902,6,126978
1,Sparidae,160,Lithognathus mormyrus,"(Linnaeus, 1758)",Herrera,Striped sea bream,0.015400,2.970000,0.00,0.00,0.00,1,1,8835431601,6,127055
1,Sparidae,161,Diplodus bellottii,"(Steindachner, 1882)",Raspallón senegalés,Senegal sea bream,0.009240,3.203000,0.00,0.00,0.00,1,1,8835430407,6,127050
1,Sphyraenidae,162,Sphyraena sphyraena,"(Linnaeus, 1758)",Espetón,Barracuda,0.000000,0.000000,0.00,0.00,0.00,1,1,8837010118,6,127068
1,Centracanthidae,163,Spicara smaris,"(Linnaeus, 1758)",Chucla,Picarel,0.000000,0.000000,0.00,0.00,0.00,1,1,8835530303,6,126830
1,Haemulidae,164,Pomadasys incisus,"(Bowdich, 1825)",Roncador,Bastard grunt,0.000000,0.000000,0.00,0.00,0.00,1,1,8835400515,6,126947
1,Sciaenidae,165,Umbrina canariensis,"Valenciennes, 1843",Corvallo,Canary drum,0.000000,0.000000,0.00,0.00,0.00,1,1,8835441107,6,127011
